Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 10, estrofe 90, verso 4;Ora da terra estão caminho breue,;Ora da terra estam caminho breue,
Canto 10, estrofe 90, verso 5;Bem como quis o padre omnipotente;em como quís o padre omnipotente
Canto 10, estrofe 90, verso 6;Que o fogo fez, & o ar, o vento, & neue,;Que o fogo fez, & o ar, o vento & neue,
Canto 10, estrofe 91, verso 2;Que não somente ousados se contentão;Que nam somente ousados se contentam
Canto 10, estrofe 91, verso 4;Mas inda o mar instabil esprimentão,;Mas inda o mar instabil esprimentam,
Canto 10, estrofe 91, verso 5;Verâs as varias partes, que os insanos;Veras as varias partes, que os insanos
Canto 10, estrofe 91, verso 6;Mares diuidem, onde se apousentão;Mares diuidem, onde se apousentam
Canto 10, estrofe 91, verso 8;Varios costumes seus, e varias leis.;Varios costumes, seus, & varias leis
Canto 10, estrofe 92, verso 1;Ves Europa Christaā mais alta & clara;Ves Europa Christaã mais alta & clara
Canto 10, estrofe 92, verso 2;Que as outras em policia, & fortaleza:;Que as outras em policia & fortaleza:
Canto 10, estrofe 92, verso 3;Ves Africa dos bens do mundo auara,;Ves Africa dos bens do mundo auara
Canto 10, estrofe 92, verso 5;Co Cabo que ate qui se vos negâra,;Co Cabo que ate qui se vos negára,
Canto 10, estrofe 92, verso 7;Olha essa terra toda, que se habita;Olha essa terra toda, que se habita.
Canto 10, estrofe 93, verso 1;Ve do Benomotapa o grande imperio,;Vè do Beno notapa o grande imperio,
Canto 10, estrofe 93, verso 3;Onde Gonçalo morte & vituperio;Onde Gonçalo morte & vituperio,
Canto 10, estrofe 93, verso 4;Padecerâ, polla se sancta sua:;Padecerà, polla fe sancta sua:
Canto 10, estrofe 93, verso 5;Nace por aste incognito Hemisperio;Nace por aste incognito Hemisperio.
Canto 10, estrofe 93, verso 6;O metal, por que mais a gente sua,;O metal, porque maisu gente sua
Canto 10, estrofe 93, verso 8;O Nilo, tambem vindo estâ Cuama.;O Nilo, tambem vindo está Cuama.
Canto 10, estrofe 94, verso 1;Olha as casas dos negros, como estão;Olha as casas dos negros, como estam
Canto 10, estrofe 94, verso 5;Olha delles a bruta multidão;Olha delles a bruta multidam
Canto 10, estrofe 94, verso 6;Qual bando espesso & negro de Estorninhos,;Qual bãdo espesso & negro de Estorninhos
Canto 10, estrofe 94, verso 8;Que defenderâ Nhaya com destreza.;Que desendera Nhaya com destreza.
Canto 10, estrofe 95, verso 2;Nace, que não souberão os antigos,;Nace, que nam souberam os antigos
Canto 10, estrofe 95, verso 3;velo rega, gerando o Crocodilo,;Velo rega, gerando o Crocodilo,
Canto 10, estrofe 95, verso 6;Se defendem milhor dos mimigos,;Se defendem milhor dos inimigos,
Canto 10, estrofe 95, verso 8;Que ora dos naturais Nobâ se chama.;Que ora dos naturais Nobá se chama.
Canto 10, estrofe 96, verso 2;Nas armas contra os Turcos serâ claro,;Nàs armas contra os Turcos sera claro,
Canto 10, estrofe 96, verso 3;Ha de ser dom Christouão o nome seu,;Ha de ser dom Christouam o nome seu,
Canto 10, estrofe 96, verso 4;Mas contra o fim fatal não ha reparo:;Mas contra o fim fatal nam ha reparo:
Canto 10, estrofe 96, verso 5;Ve ca à Costa do mar, onde te deu;Ve ca acosta do mar, onde te deu
Canto 10, estrofe 96, verso 7;O Rapto rio nota, que o romance;O Rapta rio nota, que o romance
Canto 10, estrofe 96, verso 8;Da terra chama Obî, entra em Quilmance.;Da terra chama Obî , entra em
Canto 10, estrofe 97, verso 1;O Cabo ve ja Aromâta chamado,;O cabo veja Aromatà chamado,
Canto 10, estrofe 97, verso 2;E agora Goardo fû dos moradores,;E agora Goardafù dos moradores,
Canto 10, estrofe 97, verso 3;Onde começa a loca do afamado;Onde começa a boca do afamado
Canto 10, estrofe 97, verso 5;Este como limite, sta lançado;Este como limite esta lançado
Canto 10, estrofe 97, verso 6;Que diuide Asia de Africa, & as milhores;Que diuide Asta de Africa & as milhores
Canto 10, estrofe 97, verso 7;Pouoações, que a parte Africa tem;Pouoações, que parte Africa tem
Canto 10, estrofe 97, verso 8;Maçuâ sam, Arquico, & Suamquem.;Maçuà sam, Arquico, & Suamquem.
Canto 10, estrofe 98, verso 8;Em terrás grande, em reinos opulenta.;Em terras grande, em reinos opulenta.
Canto 10, estrofe 99, verso 3;Olha Toro, & Gidâ, que lhe falece;Olha Toro & Gidà, que lhe falece
Canto 10, estrofe 99, verso 4;Agoa das fontes doce, & cristalina:;Agoa das fontes doçe, & cristalina:
Canto 10, estrofe 100, verso 2;Tomão, todas da gente vaga, & baça,;Tomão, todas da gente vaga & baça,
Canto 10, estrofe 100, verso 4;Ligeiros, & feroces, de alta raça:;Ligeiros & feroces, de alta raça:
Canto 10, estrofe 100, verso 8;Da cidade Fartaque ali sabida,;Da cidade Fartaque ali sabida.
Canto 10, estrofe 101, verso 3;Mas atenta ja ca destroutra banda;Mas atenta ja ca destoutra banda
Canto 10, estrofe 101, verso 4;De Roçalgate, & prayas sempre auaras,;De Roçalgate & prayas sempre auaras,
Canto 10, estrofe 101, verso 5;Começa o reyno Ormuz, que todo se anda;Começa o reino Ormuz, que todo se anda
Canto 10, estrofe 101, verso 6;Pellas ribeiras, que inda serão claras;Pellas ribeiras que inda seram claras
Canto 10, estrofe 101, verso 7;Quando as gales do Turco, & fera armada;Quando as gales do Turco & fera armada
Canto 10, estrofe 102, verso 6;Tém das suas perlas ricas, & imitantes;Tem das suas perlas ricas & imitantes
Canto 10, estrofe 103, verso 4;E de não ter das armas sempre os calos:;E de nam ter das armas sempre os calos:
Canto 10, estrofe 104, verso 2;Se mostrarâ a virtude em armas clara,;Se mostrarà a virtude em armas clara,
Canto 10, estrofe 104, verso 4;Os muitos Parseos vencerâ de Lara:;Os muitos Parseos vencerá de Lara:
Canto 10, estrofe 104, verso 5;Virão prouar os golpes e reueses;Virão prouar os golpes & reueses
Canto 10, estrofe 104, verso 6;De dom Pedro de Sousa, que prouâra;De dom Pedro de Sousa, que prouàra
Canto 10, estrofe 104, verso 8;Terâ por terra a força so de espada.;Terá por terra a força so de espada.
Canto 10, estrofe 105, verso 1;Mas deixemos o estreito, & o conhecido;Mas deixemos o estreito & o conhecido
Canto 10, estrofe 106, verso 5;A terra de cambaya ve ríquissima,;A terra de Cambaya ve riquissima,
Canto 10, estrofe 106, verso 8;A vosoutros aqui se estão guardando.;A vosoutros aqui se estam guardando.
Canto 10, estrofe 107, verso 1;Ves corre a costa cèlebre Indiana;Ves corre a costa cèlebre lndiana
Canto 10, estrofe 107, verso 2;Pera o Sul, ate o Cabo Comori;Pera o Sul, ate o cabo Comori
Canto 10, estrofe 107, verso 3;la chamado Cori, que Taprobana;Ia chamado Cori, que Taprobana
Canto 10, estrofe 107, verso 4;(Que ora he Ceilão) de fronte tem de si:;(Que ora he Ceilão) defronte tem de si:
Canto 10, estrofe 107, verso 6;Qua com armas virâ despois de ti,;Qua com armas virà despois de ti,
Canto 10, estrofe 107, verso 7;Terâ vitorias terras, & cidades;Terà vitorias terras, & cidades
Canto 10, estrofe 108, verso 5;Olha que de Narfinga o senhorio;Olha que de Narsinga o senhorio
Canto 10, estrofe 108, verso 8;Qut a Iesu Christo teue a mão no lado.;Qut a lesu Christo teue a mão no lado
Canto 10, estrofe 109, verso 2;Meliapor, fermosa, grande, & rica:;Meliapor, fermosa, grande & rica:
Canto 10, estrofe 109, verso 7;Thome vinha prègando, & ja passàra;Thome vinha prêgando, & ja passára
Canto 10, estrofe 110, verso 1;Chegado aqui pregando, & junto dando;Chegado aqui prêgando & junto dando
Canto 10, estrofe 110, verso 6;Fazer delle madeira, & não duuida;Fazer delle madeira, & nam duuida
Canto 10, estrofe 110, verso 7;Poder tiralo a terra compossantes;Poder tiralo a terra com possantes
Canto 10, estrofe 111, verso 1;Era tão gránde o peso do madeiro;Era tam grande o peso do madeiro
Canto 10, estrofe 111, verso 4;Menos trabalho em tal negocio gasta:;Menos trobalho em tal negocio gasta:
Canto 10, estrofe 111, verso 5;Ata o cordão que traz por derradeiro;Ata o cordão que traz for derradeiro
Canto 10, estrofe 112, verso 1;Sabia bem que se com fe formada;Sabia bem que se com fe formoda
Canto 10, estrofe 112, verso 3;Que obedeçerà logo aa voz sagrada,;Que obedecerà logo aa voz sagrada,
Canto 10, estrofe 112, verso 4;Que assi lho insinou Christo, & elle o proua:;Que assi lho insiou Christo, & elle o proua:
Canto 10, estrofe 112, verso 5;A gente ficon disto aluoroçada,;A gente ficou disto aluoroçada,
Canto 10, estrofe 113, verso 3;Buscão maneiras mil, buscão desuios;Buscão maneiras mil, buscam desuios
Canto 10, estrofe 113, verso 4;Com que Thome não se ouça, ou morto seja:;Com que Thome nam se ouça, bir orto seja:
Canto 10, estrofe 113, verso 5;O principal, que ao peito traz os fios,;O principal, que do peito traz os fios,
Canto 10, estrofe 113, verso 6;Hum caso, horrendo faz, que o mundo veja,;Hum caso horrendo faz, que o mundo veja,
Canto 10, estrofe 113, verso 7;Que inimiga não ha tão dura, e fera,;Que inimiga não ha tam dura, & fera,
Canto 10, estrofe 114, verso 1;Hum filho proprio mata, e logo acusa;Hum filho proprio mata, logo acusa
Canto 10, estrofe 114, verso 2;De homecidio Thome, que era innocente;De homicidio Thome, que cnatinnocente
Canto 10, estrofe 114, verso 3;Dâ falsas testemunhas, como se vsa;Dà falsas testemunhas, como se vsa
Canto 10, estrofe 114, verso 4;Condenarã no a morte breuemente:;Condenarãno a morte breuemente:
Canto 10, estrofe 114, verso 5;O Santo que não vè milhor escusa,;O Santo que nam vè milhor escusa,
Canto 10, estrofe 114, verso 6;Que apellar pera o Padre omnipotente,;Que apellar perao Padre omnipotente,
Canto 10, estrofe 114, verso 7;Quer diante do Rey, e dos senhores,;Quer diante do Rey, & dos senhores,
Canto 10, estrofe 115, verso 2;Que resucite, e seja perguntado,;Que resucite, & seja perguntado,
Canto 10, estrofe 115, verso 3;Quem foy seu matador, e serâ crido;Quem foy seu matador, & sera crido
Canto 10, estrofe 115, verso 6;Em nome de Iesu crucificado,;Em nomade Iesu crucificado,
Canto 10, estrofe 115, verso 7;Dâ graças a Thome, que lhe deu vida;Da graças a Thome, que lhe deu vida
Canto 10, estrofe 115, verso 8;E descobre seu pay ser homicida.;E descobre seu pay ser homecida.
Canto 10, estrofe 116, verso 1;Este milagre fez tamanho espanto,;Este milagre seztamanho espanto,
Canto 10, estrofe 116, verso 2;Que o Rey se banha logo na ago santa,;Que o Rey se banha logo na agoa santa,
Canto 10, estrofe 116, verso 5;Os Bramenes se encherão de odio tanto,;Os Bramenes se encheram de odio tanto,
Canto 10, estrofe 117, verso 1;Hum dia que prègando ao pouo estaua,;Hum dia que prêgando ao pouo estaua,
Canto 10, estrofe 117, verso 6;No Santo dâ ja a tudo offerecido,;No Santo dá ja a tudo offerecido,
Canto 10, estrofe 117, verso 7;Hum dos maos por fartarse mais de pressa,;Hum dos maos por fartarse mais de pressa
Canto 10, estrofe 117, verso 8;Com crua lança o peito lhe atrauessa.;Com crua lança o peito lhe atrauessa
Canto 10, estrofe 118, verso 1;Chorarão te Thome, o Gange & o Iudo,;Chorarão te Thome, o Gange & o lndo,
Canto 10, estrofe 118, verso 3;Mais te chorão as almas, que vestindo;Mais te choram as almas, que vestindo
Canto 10, estrofe 118, verso 4;Se yão da sancta Fe, que lhe insinaste:;Se yão da sancta Fe que lhe insinaste:
Canto 10, estrofe 118, verso 5;Mas os Anjos do ceo cantando, e rindo,;Mas os Anjos do ceo cantando & rindo,
Canto 10, estrofe 119, verso 3;Dizey se sois mandados, como estais;Dizeyse sois mandados, como estais
Canto 10, estrofe 119, verso 4;Sem yrdes a pregar a sancta fe?;Sem yrdes a prègar a sancta fe?
Canto 10, estrofe 119, verso 7;Com que se salgarão em nossos dias;Com que se salgarão em nossos dias.
Canto 10, estrofe 120, verso 3;Ia com esta cidade tão famosa,;Ia com esta cidade tam famosa,
Canto 10, estrofe 121, verso 3;Que inda que sejão grandes peccadores,;Que inda que sejam grandes peccadores
Canto 10, estrofe 121, verso 5;Ve Chatigão cidade das milhores;Ve Cathigão cidade das milhores
Canto 10, estrofe 121, verso 7;De abundante, mas olha que estâ posta;De abundante, mas olha que está posta
Canto 10, estrofe 122, verso 2;De Pegu, que ja mõstros pouoarão,;De Pegu, que ja mõstros pouoaram,
Canto 10, estrofe 122, verso 4;Dhũa molher e hum cão, que sos se acharão:;Dhũa molher & hũ cão, que sos se acharam:
Canto 10, estrofe 122, verso 5;Aqui soante Arame no instromento;Aqui soante arame no instromento
Canto 10, estrofe 122, verso 6;Da geração custumão, o que vsaraõ;a geraçam custumão, o que vsaram
Canto 10, estrofe 123, verso 2;De Sião largo o imperio tão comprido,;De Sião largo o amperio tam comprido,
Canto 10, estrofe 123, verso 3;Tenassarî, Quedâ, que he so cabeça;Tenassarî, Quedá, que he so cabeça
Canto 10, estrofe 124, verso 3;A nobre Ilha Samatra, que ja dantes;A nobre llha Samatra, que ja dantes
Canto 10, estrofe 124, verso 7;Aurea por epitheto lhe ajuntarão,;Aurea por epitheto lhe ajuntaram,
Canto 10, estrofe 124, verso 8;Alguns que fosse Ophir ymaginarão.;Alguns que fosse Ophir ymaginaram.
Canto 10, estrofe 125, verso 3;Daqui tornando a Costa aa Cynosura;Daqui tornando a costa aa Cynosura
Canto 10, estrofe 125, verso 4;Se encurva, & pera a Aurora se endereita:;Se encurua, & pera a Aurora se endereita:
Canto 10, estrofe 125, verso 5;Ves Pam, Patane, reinos, & a longura;Ves Pam, Putane, reinos & a longura
Canto 10, estrofe 126, verso 1;Ves neste grão terreno os differentes;Ves neste gram terreno os differentes
Canto 10, estrofe 126, verso 4;Auâs, Bramàs, por serras tão compridas:;Auàs, Bramàs, por serras tam compridas:
Canto 10, estrofe 126, verso 5;Ve nos remotos montes outras gentes;Ve nos remotos ventos outras gentes
Canto 10, estrofe 126, verso 8;Pintão com ferro ardente, vsança crua:;Pintão com ferro ardente, vsança crua.
Canto 10, estrofe 127, verso 2;Que capitão das agoas se interpreta,;"Que capitão das agoas se interpreta;"
Canto 10, estrofe 127, verso 6;A gente delle crè como indiscreta,;Agente delle crê como indiscreta,
Canto 10, estrofe 127, verso 8;Os brutos animais de toda sorte.;Ou brutos anumnuis de toda sorte.
Canto 10, estrofe 128, verso 1;Este receberâ placido & brando,;Este receberá placido & brando,
Canto 10, estrofe 128, verso 6;Serâ o injusto mando executado;Sera o injusto mando executado
Canto 10, estrofe 128, verso 8;Sera mais affamada que ditosa.;Sera mais affamada que ditosa
Canto 10, estrofe 129, verso 2;Cuja mata he do pao cheiroso ornada,;Cuja mata he do pão cheiroso ornada,
Canto 10, estrofe 129, verso 3;Ves Cauchichina estâ de escura fama,;Ves Caucbichina està de escura fama,
Canto 10, estrofe 129, verso 6;Com terras, & riqueza não cuidada,;Comtetras & riqueza nam cuidada,
Canto 10, estrofe 129, verso 7;Da China corre, & ocupa o senhorio;Da Chîna corre, & ocupa o senhorio
Canto 10, estrofe 130, verso 2;Que entre hum imperio & o outro se edifica,;Que entre hum imperio & o outro se edifica
Canto 10, estrofe 130, verso 3;Certissimo final, & conhecido,;Certissimo sinal, & conhecido,
Canto 10, estrofe 130, verso 4;Da potencia real, soberba, & rica:;Da potencia real, soberba & rica:
Canto 10, estrofe 130, verso 6;Princepe, nem dos pais aos filhos fica;Principe, nem dos pais aos filhos fica
Canto 10, estrofe 130, verso 8;Por cavaleiro sabio & virtuoso.;Por caualeiro sabio & virtuoso.
Canto 10, estrofe 131, verso 2;Ate que venha o tempo de mostrar se,;Ate que venha o tempo de mostrarse,
Canto 10, estrofe 131, verso 3;Mas não deixes no mar as Ilhas, onde;Mas nam deixes no mar as llhas, onde
Canto 10, estrofe 131, verso 8;Que illustrada serà coa Ley diuina.;Que illustrada sera coa Ley diuina.
Canto 10, estrofe 132, verso 2;As infinitas Ilhas espalhadas;As infinitas llhas espalhadas
Canto 10, estrofe 132, verso 3;Ve Tidore, & Tarnate, co feruente;Ve Tidore, & Tarnate, co seruente
Canto 10, estrofe 132, verso 4;Cume, que lança as flamas ondeadas:;Cume, que lança as flamas ondeadas
Canto 10, estrofe 132, verso 5;As aruores verâs do Crauo ardente,;As aruores veràs do Crauo ardente,
Canto 10, estrofe 132, verso 7;Aqui ha as aureas aues, que não decem;Aqui ha as aureas aues, que nam decem
Canto 10, estrofe 133, verso 1;Olha de Banda as Ilhas, que se esmaltão;Olha de Banda as Ilhas, que se esmaltam
Canto 10, estrofe 133, verso 3;As aues variadas, que ali saltão,;As aues variadas, que ali saltam,
Canto 10, estrofe 133, verso 4;Da verde Noz tomando seu tributo:;"Da verde Noz tomando seu tributo;"
Canto 10, estrofe 133, verso 5;Olha tambem Bernèo, onde não faltão;Olha tambem Bornèo, onde nam faltam
Canto 10, estrofe 133, verso 6;Lagrimas, no licor qualhado, & enxuto,;Lagrimas, no licor qualhado & enxuto,
Canto 10, estrofe 133, verso 7;Das aruores, que Cânfora he chamado,;Das aruores, qne Cánfora he chamado,
Canto 10, estrofe 134, verso 2;Sàndalo salutifero, & cheiroso,;Sàndalo salutifero & cheiroso,
Canto 10, estrofe 134, verso 3;Olba a Sunda tão larga, que hũa banda;Olha a Sunda tam larga, que hũa banda
Canto 10, estrofe 134, verso 4;Esconde pera o Sul difficultoso:;Esconde per ro Sul difficultoso:
Canto 10, estrofe 134, verso 8;Conuerte em pedra o pao que nelle cae:;Conuerte em pedra o pao que nelle cae.
Canto 10, estrofe 135, verso 2;Que tambem flamas tremulas vapôra,;Qne tambem flamas tremulas vapòra,
Canto 10, estrofe 136, verso 2;Tanto, que as nuuẽs passa, ou a vista engana,;Tanto, que as nuuẽs passa, ou a vista engana
Canto 10, estrofe 136, verso 4;Polla pedra onde estâ a pègada humana:;Polla pedra onde está a pêgada humana:
Canto 10, estrofe 137, verso 1;Verás de fronte estar do roxo estreito;Veras de fronte estar ao roxo estreito
Canto 10, estrofe 137, verso 2;Socotorâ co amaro Aloe famosa,;Socotorà co amaro Aloe famosa,
Canto 10, estrofe 137, verso 4;A vos, na costa de Affrica arenosa,;A vos na costa de Affrica arenosa,
Canto 10, estrofe 137, verso 6;A massa ao mundo occulta, e preciosa,;A massa ao mundo occulta & precisa,
Canto 10, estrofe 137, verso 7;De sam Lourenço ve a Ilha afamada,;De sam Lourenço ve a llha afamada,
Canto 10, estrofe 138, verso 3;Abrindo a porta ao vasto mar patente,;Abrindo a porta ao vasto mar patente
Canto 10, estrofe 138, verso 4;Que com tão forte peito nauegais:;Que com tam forte peito nauegais:
Canto 10, estrofe 138, verso 7;Que de seu Rey mostrando se agrauado;Que de seu Rey mostrandose agrauado
